Qty,Name,Manufacturer,Specification
Purchase,,,
1,Controller,Arduino,Nano USB-C
1,RTC,DFRobot,Fermion SD3031
1,Display,,1.28 inch GC9A01
1,Audio board,,BY8301-16P
1,Buck converter,,MP1584
1,USB port,,
3,Transistor,,TIP120 60V 5A
4,LED bar – blue,,38mm 3V
6,LED bar – pruple,,38mm 3V
8,LED bar – orange,,38mm 3V
1,Rotary encoder,,EC11 15mm half handle
1,Push Button,,PBS-33B
1,Toggle switch,,MTS-102
1,Toggle switch cover,,MTS-XXX
24,M3 Button,,"M3x6mm, button head"
9,M3 countersunk,,"M3x6mm, countersunk"
9,Insert,,M3 metal insert
1,Speaker,Dayton Audio,CE36-8
1,Wire,,Single core – 1.5mm
4,Resistor,,1K
1,Capacitor,,1000 uF 25V
Manufacture,,,
1,Front plate,,1.2mm
2,Side plate,,2mm
1,Back plate,,1.2mm
1,Top plate,,1.2mm
1,Bottom case,,PLA
4,Corner connector,,PLA
